model,split,fold,mae,rmse,cv_splits,test_area_frac
xgboost,spatiotemporal_cv,1,1.7239068746566772,2.292317546543649,5,0.2
xgboost,spatiotemporal_cv,2,1.7840673923492432,2.3284589284756345,5,0.2
xgboost,spatiotemporal_cv,3,1.8099342584609983,2.440918896669783,5,0.2
xgboost,spatiotemporal_cv,4,1.70419180393219,2.239374609395408,5,0.2
xgboost,spatiotemporal_cv,5,1.8439356088638303,2.377110697805805,5,0.2
xgboost,spatiotemporal_cv_mean,mean,1.773207187652588,2.3356361357780555,5,0.2
kriging_spatial_only,spatiotemporal_cv,1,2.118009090579436,2.7741559196058985,5,0.2
kriging_spatial_only,spatiotemporal_cv,2,2.590978802234669,3.6142429934648574,5,0.2
kriging_spatial_only,spatiotemporal_cv,3,2.7185295832155294,3.6191045814737537,5,0.2
kriging_spatial_only,spatiotemporal_cv,4,2.5083092148852706,3.622284847081642,5,0.2
kriging_spatial_only,spatiotemporal_cv,5,2.25838365401765,2.827720399728416,5,0.2
kriging_spatial_only,spatiotemporal_cv_mean,mean,2.438842068986511,3.291501748270914,5,0.2
poisson,spatiotemporal_cv,1,1.7624823164558563,2.3178696449553864,5,0.2
poisson,spatiotemporal_cv,2,1.9624886975517617,2.750487689501488,5,0.2
poisson,spatiotemporal_cv,3,1.9651294098976244,2.800173677565766,5,0.2
poisson,spatiotemporal_cv,4,1.798511059757773,2.4937051039213083,5,0.2
poisson,spatiotemporal_cv,5,1.8109519699384944,2.371750793814852,5,0.2
poisson,spatiotemporal_cv_mean,mean,1.8599126907203023,2.54679738195176,5,0.2
gconvgru,spatiotemporal_cv,1,2.1930744647979736,2.993122323322354,5,0.2
gconvgru,spatiotemporal_cv,2,2.1723999977111816,3.11425689381454,5,0.2
gconvgru,spatiotemporal_cv,3,2.4026095867156982,3.3958790937901653,5,0.2
gconvgru,spatiotemporal_cv,4,2.1675846576690674,3.0547051392653275,5,0.2
gconvgru,spatiotemporal_cv,5,2.0015616416931152,2.6454746473788626,5,0.2
gconvgru,spatiotemporal_cv_mean,mean,2.1874460697174074,3.0406876195142494,5,0.2
gwr,spatiotemporal_cv,1,1.895203132582112,2.5350236544824893,5,0.2
gwr,spatiotemporal_cv,2,1.6642359510493918,2.285362596745875,5,0.2
gwr,spatiotemporal_cv,3,1.7946203746554763,2.435899765979985,5,0.2
gwr,spatiotemporal_cv,4,1.648787053884768,2.223886294446181,5,0.2
gwr,spatiotemporal_cv,5,1.6775470006905264,2.236200344152807,5,0.2
gwr,spatiotemporal_cv_mean,mean,1.736078702572455,2.3432745311614673,5,0.2
